ORF,protein2RNA
YDR075W,2840
YDR076W,1050
YDR077W,1630
YDR078C,
YDR079C-A,
YDR079W,468
YDR080W,1170
YDR081C,572
YDR082W,
YDR083W,2780
YDR084C,1040
YDR085C,
YDR086C,
YDR087C,6960
YDR088C,1490
YDR089W,172
YDR090C,
YDR091C,6280
YDR092W,8970
YDR093W,
YDR094W,
YDR095C,
YDR096W,432
YDR097C,5330
YDR098C,11000
YDR099W,47600
YDR100W,4540
YDR101C,45100
YDR102C,
YDR103W,1900
YDR104C,
YDR105C,
YDR106W,
YDR107C,
YDR108W,8760
YDR109C,
YDR110W,1510
YDR111C,3480
YDR112W,
YDR113C,
YDR114C,
YDR115W,195
YDR116C,7010
YDR117C,3870
YDR118W,1330
YDR119W,
YDR120C,15500
YDR121W,2100
YDR122W,279
YDR123C,784
YDR124W,3510
YDR125C,143
YDR126W,
YDR127W,6420
YDR128W,556
YDR129C,3510
YDR130C,
YDR131C,
YDR132C,172
YDR133C,
YDR134C,
YDR135C,396
YDR136C,
YDR137W,589
YDR138W,1340
YDR139C,1310
YDR140W,3390
YDR141C,2700
YDR142C,589
YDR143C,172
YDR144C,538
YDR145W,930
YDR146C,688
YDR147W,3420
YDR148C,7970
YDR149C,
YDR150W,
YDR151C,
YDR152W,10300
YDR153C,8100
YDR154C,
YDR155C,86000
YDR156W,3100
YDR157W,
YDR158W,18400
YDR159W,339
YDR160W,
YDR161W,1630
YDR162C,521
YDR163W,
YDR164C,639
YDR165W,5910
YDR166C,3400
YDR167W,3370
YDR168W,10200
YDR169C,639
YDR170C,3670
YDR170W-A,2910
YDR171W,1470
YDR172W,78900
YDR173C,2720
YDR174W,19000
YDR175C,3150
YDR176W,2470
YDR177W,8940
YDR178W,7920
YDR179C,358
YDR179W-A,259
YDR180W,3310
YDR181C,768
YDR182W,583
YDR183W,2250
YDR184C,846
YDR185C,672
YDR186C,195
YDR187C,
YDR188W,
YDR189W,5780
YDR190C,11600
YDR191W,377
YDR192C,
YDR193W,
YDR194C,10300
YDR195W,7450
YDR196C,1660
YDR197W,2140
YDR198C,768
YDR199W,
YDR200C,377
YDR201W,639
YDR202C,2860
YDR203W,
YDR204W,
YDR205W,1070
YDR206W,
YDR207C,217
YDR208W,
YDR209C,
YDR210W,13100
YDR211W,33800
YDR212W,
YDR213W,752
YDR214W,13900
YDR215C,
YDR216W,
YDR217C,400
YDR218C,
YDR219C,1360
YDR220C,
YDR221W,9760
YDR222W,1010
YDR223W,
YDR224C,
YDR225W,
YDR226W,123000
YDR227W,
YDR228C,2800
YDR229W,2840
YDR230W,
YDR231C,
YDR232W,22600
YDR233C,37100
YDR234W,7350
YDR235W,1730
YDR236C,830
YDR237W,
YDR238C,26000
YDR239C,155
YDR240C,361
YDR241W,
YDR242W,
YDR243C,
YDR244W,2070
YDR245W,6280
YDR246W,3130
YDR247W,784
YDR248C,504
YDR249C,
YDR250C,
YDR251W,300
YDR252W,1820
YDR253C,
YDR254W,606
YDR255C,
YDR256C,623
YDR257C,4010
YDR258C,2990
YDR259C,1350
YDR260C,
YDR261C,2410
YDR262W,4850
YDR263C,
YDR264C,4070
YDR265W,
YDR266C,1910
YDR267C,5640
YDR268W,672
YDR269C,
YDR270W,
YDR271C,
YDR272W,13700
YDR273W,
YDR274C,
YDR275W,922
YDR276C,
YDR277C,
YDR278C,
YDR279W,2340
YDR280W,4800
YDR281C,
YDR282C,
YDR283C,279
YDR284C,3040
YDR285W,391
YDR286C,
YDR287W,
YDR288W,2540
YDR289C,3930
YDR290W,
YDR291W,259
YDR292C,2000
YDR293C,1100
YDR294C,13100
YDR295C,1500
YDR296W,2610
YDR297W,54300
YDR298C,32400
YDR299W,15400
YDR300C,10400
YDR301W,639
YDR302W,
YDR303C,1750
YDR304C,
YDR305C,1920
YDR306C,
YDR307W,
YDR308C,1390
YDR309C,1130
YDR310C,149
YDR311W,5150
YDR312W,1350
YDR313C,195
YDR314C,78.6
YDR315C,
YDR316W,504
YDR317W,
YDR318W,952
YDR319C,
YDR320C,768
YDR320C-A,967
YDR321W,
YDR322C-A,4590
YDR322W,7700
YDR323C,768
YDR324C,5440
YDR325W,1920
YDR326C,
YDR327W,
YDR328C,
YDR329C,1400
YDR330W,6630
YDR331W,1560
YDR332W,172
YDR333C,339
YDR334W,656
YDR335W,3500
YDR336W,
YDR337W,6960
YDR338C,195
YDR339C,
YDR340W,
YDR341C,20600
YDR342C,7350
YDR343C,
YDR344C,
YDR345C,37200
YDR346C,45200
YDR347W,2840
YDR348C,1480
YDR349C,149
YDR350C,
YDR351W,
YDR352W,6350
YDR353W,292000
YDR354W,1760
YDR355C,
YDR356W,279
YDR357C,589
YDR358W,656
YDR359C,
YDR360W,
YDR361C,4590
YDR362C,1130
YDR363W,1890
YDR363W-A,5590
YDR364C,1630
YDR365C,656
YDR366C,
YDR367W,3420
YDR368W,14100
YDR369C,358
YDR370C,1040
YDR371W,3050
YDR372C,1850
YDR373W,7160
YDR374C,
YDR375C,1990
YDR376W,1600
YDR377W,14600
YDR378C,
YDR379C-A,861
YDR379W,254
YDR380W,6560
YDR381W,
YDR382W,602000
YDR383C,
YDR384C,
YDR385W,78100
YDR386W,300
YDR387C,
YDR388W,14600
YDR389W,1420
YDR390C,18800
YDR391C,6020
YDR392W,1710
YDR393W,279
YDR394W,
YDR395W,16300
YDR396W,
YDR397C,2950
YDR398W,33100
YDR399W,36500
YDR400W,
YDR401W,
YDR402C,
YDR403W,
YDR404C,6420
YDR405W,2170
YDR406W,
YDR407C,259
YDR408C,3910
YDR409W,149
YDR410C,2690
YDR411C,
YDR412W,2950
YDR413C,
YDR414C,
YDR415C,
YDR416W,2170
YDR417C,
YDR418W,50300
YDR419W,1860
YDR420W,
YDR421W,319
YDR422C,623
YDR423C,623
YDR424C,1310
YDR425W,1800
YDR426C,
YDR427W,12400
YDR428C,
YDR429C,
YDR430C,6140
YDR431W,
YDR432W,78700
YDR433W,
YDR434W,7520
YDR435C,
YDR436W,189
YDR437W,752
YDR438W,
YDR439W,1390
YDR440W,2160
YDR441C,937
YDR442W,
YDR443C,
YDR444W,2070
YDR445C,
YDR446W,
YDR447C,30500
YDR448W,1720
YDR449C,7520
YDR450W,48100
YDR451C,
YDR452W,319
YDR453C,4820
YDR454C,20500
YDR455C,
YDR456W,521
YDR457W,358
YDR458C,1250
YDR459C,
YDR460W,3050
YDR461W,28900
YDR462W,6280
YDR463W,1310
YDR464W,
YDR465C,1600
YDR466W,
YDR467C,
YDR468C,
YDR469W,937
YDR470C,
YDR471W,22900
YDR472W,8350
YDR473C,432
YDR474C,2130
YDR475C,
YDR476C,2120
YDR477W,589
YDR478W,172
YDR479C,5040
YDR480W,1310
YDR481C,3060
YDR482C,556
YDR483W,13000
YDR484W,3130
YDR485C,358
YDR486C,2110
YDR487C,5460
YDR488C,752
YDR489W,
YDR490C,
YDR491C,
YDR492W,
YDR493W,279
YDR494W,
YDR495C,2270
YDR496C,21500
YDR497C,
YDR498C,4910
YDR499W,606
YDR500C,19700
YDR501W,
